                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.83016,                0.65968,                 1.0422,                0.89906,                0.81047,                0.86463,                0.65129,                0.93011,                0.86668,                 1.1292,              0.0002774,              0.0002774,              0.0002774
                     90,                0.80234,                0.64477,                 1.0588,                 0.8757,                0.72727,                0.85178,                 0.6896,                0.91854,                0.84305,                 1.1381,              0.0002576,              0.0002576,              0.0002576
                     91,                0.67372,                  0.588,                0.96526,                 0.8757,                0.72727,                0.85178,                 0.6896,                0.91854,                0.84305,                 1.1381,              0.0002378,              0.0002378,              0.0002378
                     92,                0.65112,                0.53546,                0.91664,                0.98754,                0.72727,                 0.8792,                0.72225,                0.92902,                0.78424,                 1.2144,               0.000218,               0.000218,               0.000218
                     93,                0.64609,                0.56087,                0.99496,                0.98754,                0.72727,                 0.8792,                0.72225,                0.92902,                0.78424,                 1.2144,              0.0001982,              0.0001982,              0.0001982
                     94,                0.67814,                0.60186,                0.95426,                      1,                 0.8083,                0.89818,                0.73858,                0.92553,                0.90587,                  1.248,              0.0001784,              0.0001784,              0.0001784
                     95,                0.67671,                0.57292,                0.95902,                      1,                 0.8083,                0.89818,                0.73858,                0.92553,                0.90587,                  1.248,              0.0001586,              0.0001586,              0.0001586
                     96,                0.69051,                0.52855,                 1.0061,                      1,                0.81752,                0.91244,                0.75125,                0.92484,                0.89963,                 1.2299,              0.0001388,              0.0001388,              0.0001388
                     97,                0.63136,                 0.5144,                0.97669,                      1,                0.81752,                0.91244,                0.75125,                0.92484,                0.89963,                 1.2299,               0.000119,               0.000119,               0.000119
                     98,                0.70047,                 0.5288,                 0.9917,                      1,                0.88076,                0.92404,                 0.7563,                0.91622,                0.84932,                 1.2138,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.66506,                0.51667,                0.99173,                      1,                0.88076,                0.92404,                 0.7563,                0.91622,                0.84932,                 1.2138,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.63393,                0.50617,                0.95511,                      1,                0.89308,                 0.9446,                0.75869,                0.89136,                0.81679,                 1.1873,               5.96e-05,               5.96e-05,               5.96e-05
